audio,threshold,averaged_threshold,detected,hit_time_s,score,avg_score,run_ms
alexa,0.6,0.34,false,,,,82
computer,0.6,0.34,false,,,,68
hey_google,0.6,0.34,false,,,,69
hey_siri,0.6,0.34,false,,,,82
hey_winstt,0.6,0.34,true,2,0.6710108,0.38374433,60
jarvis,0.6,0.34,false,,,,79
ok_google,0.6,0.34,false,,,,75
alexa,0.6,0.36,false,,,,74
computer,0.6,0.36,false,,,,66
hey_google,0.6,0.36,false,,,,64
hey_siri,0.6,0.36,false,,,,71
hey_winstt,0.6,0.36,true,2,0.6710108,0.38374433,60
jarvis,0.6,0.36,false,,,,77
ok_google,0.6,0.36,false,,,,79
alexa,0.6,0.37,false,,,,70
computer,0.6,0.37,false,,,,62
hey_google,0.6,0.37,false,,,,66
hey_siri,0.6,0.37,false,,,,75
hey_winstt,0.6,0.37,true,2,0.6710108,0.38374433,62
jarvis,0.6,0.37,false,,,,78
ok_google,0.6,0.37,false,,,,69
alexa,0.6,0.38,false,,,,66
computer,0.6,0.38,false,,,,66
hey_google,0.6,0.38,false,,,,60
hey_siri,0.6,0.38,false,,,,68
hey_winstt,0.6,0.38,true,2,0.6710108,0.38374433,57
jarvis,0.6,0.38,false,,,,78
ok_google,0.6,0.38,false,,,,76
alexa,0.6,0.39,false,,,,62
computer,0.6,0.39,false,,,,61
hey_google,0.6,0.39,false,,,,61
hey_siri,0.6,0.39,false,,,,69
hey_winstt,0.6,0.39,false,,,,82
jarvis,0.6,0.39,false,,,,72
ok_google,0.6,0.39,false,,,,72
